Time,Key pressed,Key released
0.96121,1,None
0.96967,None,1
0.97956,2,None
0.99045,None,2
1.00213,3,None
1.01225,None,3
1.02497,Key.shift,None
1.03513,C,None
1.04587,None,Key.shift
1.05585,None,c
1.06683,Key.shift,None
1.07881,A,None
1.08922,None,Key.shift
1.10023,None,a
1.11183,Key.shift,None
1.12324,P,None
1.13324,None,Key.shift
1.14445,None,p
1.15567,a,None
1.16686,None,a
1.17771,b,None
1.19741,None,b
1.20055,c,None
1.21169,None,c
1.22408,Key.shift,None
1.23518,!,None
1.24657,None,Key.shift
1.25801,None,1
1.37175,Key.enter,None
1.38335,None,Key.enter
1.4955,1,None
1.50565,None,1
1.51681,2,None
1.5284,None,2
1.53951,3,None
1.54985,None,3
1.56146,Key.shift,None
1.57293,C,None
1.58348,None,Key.shift
1.59368,None,c
1.60562,Key.shift,None
1.61668,A,None
1.6278,None,Key.shift
1.6405,None,a
1.65009,Key.shift,None
1.66126,P,None
1.67251,None,Key.shift
1.68319,None,p
1.69516,a,None
1.7063,None,a
1.71678,b,None
1.72757,None,b
1.74037,c,None
1.75175,None,c
1.76347,Key.shift,None
1.77498,!,None
1.7863,None,Key.shift
1.79776,None,1
1.91081,Key.enter,None
1.92258,None,Key.enter
2.03223,1,None
2.04405,None,1
2.05591,2,None
2.06673,None,2
2.07847,3,None
2.09003,None,3
2.10083,Key.shift,None
2.11174,C,None
2.12338,None,Key.shift
2.13332,None,c
2.14511,Key.shift,None
2.15713,A,None
2.1675,None,Key.shift
2.17799,None,a
2.18883,Key.shift,None
2.20012,P,None
2.21088,None,Key.shift
2.22364,None,p
2.23354,a,None
2.24518,None,a
2.25816,b,None
2.26954,None,b
2.28146,c,None
2.29212,None,c
2.3043,Key.shift,None
2.31557,!,None
2.32633,None,Key.shift
2.3368,None,1
2.44997,Key.enter,None
2.46141,None,Key.enter
2.57534,1,None
2.58678,None,1
2.59714,2,None
2.60784,None,2
2.61949,3,None
2.63084,None,3
2.64172,Key.shift,None
2.65262,C,None
2.66296,None,Key.shift
2.6764,None,c
2.68511,Key.shift,None
2.69534,A,None
2.70869,None,Key.shift
2.71685,None,a
2.72851,Key.shift,None
2.74188,P,None
2.75051,None,Key.shift
2.76197,None,p
2.77271,a,None
2.78355,None,a
2.79425,b,None
2.80548,None,b
2.81706,c,None
2.82766,None,c
2.8383,Key.shift,None
2.84856,!,None
2.85862,None,Key.shift
2.87023,None,1
2.98219,Key.enter,None
2.99261,None,Key.enter
3.10524,1,None
3.1165,None,1
3.12856,2,None
3.13959,None,2
3.1513,3,None
3.16226,None,3
