Time,Key pressed,Key released
0.91564,1,None
0.92351,None,1
0.93373,2,None
0.94599,None,2
0.95469,3,None
0.96525,None,3
0.97568,Key.shift,None
0.98714,C,None
0.99783,None,Key.shift
1.00928,None,c
1.0198,Key.shift,None
1.03085,A,None
1.04244,None,Key.shift
1.05356,None,a
1.06471,Key.shift,None
1.07648,P,None
1.08746,None,Key.shift
1.09806,None,p
1.11041,a,None
1.12156,None,a
1.13223,b,None
1.14321,None,b
1.15509,c,None
1.16635,None,c
1.17675,Key.shift,None
1.18829,!,None
1.19977,None,Key.shift
1.21102,None,1
1.32304,Key.enter,None
1.33443,None,Key.enter
1.4453,1,None
1.45637,None,1
1.46705,2,None
1.47738,None,2
1.48829,3,None
1.49854,None,3
1.50995,Key.shift,None
1.52044,C,None
1.53134,None,Key.shift
1.54249,None,c
1.55405,Key.shift,None
1.56539,A,None
1.57667,None,Key.shift
1.58813,None,a
1.59993,Key.shift,None
1.61122,P,None
1.62244,None,Key.shift
1.63417,None,p
1.64582,a,None
1.65723,None,a
1.66896,b,None
1.68138,None,b
1.69142,c,None
1.7027,None,c
1.71747,Key.shift,None
1.72856,!,None
1.73911,None,Key.shift
1.75014,None,1
1.86205,Key.enter,None
1.87331,None,Key.enter
1.98568,1,None
1.99695,None,1
2.00802,2,None
2.01964,None,2
2.03244,3,None
2.04287,None,3
2.05374,Key.shift,None
2.06625,C,None
2.07644,None,Key.shift
2.0871,None,c
2.09884,Key.shift,None
2.11026,A,None
2.12132,None,Key.shift
2.13181,None,a
2.14341,Key.shift,None
2.15505,P,None
2.16535,None,Key.shift
2.17692,None,p
2.18872,a,None
2.19904,None,a
2.21094,b,None
2.22133,None,b
2.23258,c,None
2.24395,None,c
2.25581,Key.shift,None
2.26724,!,None
2.27775,None,Key.shift
2.28901,None,1
2.40118,Key.enter,None
2.41121,None,Key.enter
2.5234,1,None
2.53381,None,1
2.54496,2,None
2.55507,None,2
2.56788,3,None
2.57857,None,3
2.5901,Key.shift,None
2.60098,C,None
2.61149,None,Key.shift
2.622,None,c
2.63553,Key.shift,None
2.64601,A,None
2.6574,None,Key.shift
2.6682,None,a
2.67987,Key.shift,None
2.69087,P,None
2.70137,None,Key.shift
2.71183,None,p
2.72326,a,None
2.7339,None,a
2.74455,b,None
2.75491,None,b
2.7679,c,None
2.77822,None,c
2.78902,Key.shift,None
2.80033,!,None
2.81167,None,Key.shift
2.822,None,1
2.93509,Key.enter,None
2.94635,None,Key.enter
3.0582,1,None
3.06828,None,1
3.07966,2,None
3.09108,None,2
3.10317,3,None
3.11437,None,3
3.12608,Key.shift,None
3.13645,C,None
3.14745,None,Key.shift
3.15897,None,c
3.17087,Key.shift,None
3.18254,A,None
3.19361,None,Key.shift
3.20393,None,a
3.2153,Key.shift,None
3.22584,P,None
3.23635,None,Key.shift
3.24751,None,p
3.25838,a,None
3.26853,None,a
3.27932,b,None
3.29103,None,b
3.30282,c,None
3.3141,None,c
3.32582,Key.shift,None
3.33667,!,None
3.34811,None,Key.shift
3.35958,None,1
3.47024,Key.enter,None
3.48135,None,Key.enter
3.59459,1,None
3.60462,None,1
3.61652,2,None
3.62783,None,2
3.63817,3,None
3.64972,None,3
3.66025,Key.shift,None
3.67033,C,None
3.68106,None,Key.shift
3.69137,None,c
3.70304,Key.shift,None
3.7146,A,None
3.72584,None,Key.shift
3.73753,None,a
3.74922,Key.shift,None
3.76075,P,None
3.77333,None,Key.shift
3.78208,None,p
3.79402,a,None
3.8042,None,a
3.81464,b,None
3.82673,None,b
3.83658,c,None
3.84707,None,c
3.85794,Key.shift,None
3.86918,!,None
3.87935,None,Key.shift
3.89089,None,1
4.00291,Key.enter,None
4.01344,None,Key.enter
4.12471,1,None
4.13645,None,1
4.14716,2,None
4.15805,None,2
4.16979,3,None
4.18053,None,3
4.19104,Key.shift,None
4.20189,C,None
4.21238,None,Key.shift
4.22379,None,c
4.23297,Key.shift,None
4.24428,A,None
4.25657,None,Key.shift
4.26562,None,a
4.27621,Key.shift,None
4.28644,P,None
4.29764,None,Key.shift
4.30851,None,p
4.3203,a,None
4.33159,None,a
4.34344,b,None
4.35455,None,b
4.36658,c,None
4.3777,None,c
4.39104,Key.shift,None
4.40174,!,None
4.41274,None,Key.shift
4.42605,None,1
4.53695,Key.enter,None
4.54814,None,Key.enter
4.66005,1,None
4.67161,None,1
4.68325,2,None
4.69354,None,2
4.7053,3,None
4.71603,None,3
4.72764,Key.shift,None
4.7389,C,None
4.75,None,Key.shift
4.76123,None,c
4.77288,Key.shift,None
4.78446,A,None
4.79463,None,Key.shift
4.80583,None,a
4.81753,Key.shift,None
4.82899,P,None
4.83912,None,Key.shift
4.85018,None,p
4.86147,a,None
4.87298,None,a
4.8845,b,None
4.89568,None,b
4.90749,c,None
4.91928,None,c
4.92971,Key.shift,None
4.94126,!,None
4.95183,None,Key.shift
4.96268,None,1
5.07417,Key.enter,None
5.0849,None,Key.enter
5.19693,1,None
5.20762,None,1
5.21923,2,None
5.22962,None,2
5.24125,3,None
5.25192,None,3
5.26332,Key.shift,None
5.27471,C,None
5.2849,None,Key.shift
5.29598,None,c
5.30799,Key.shift,None
5.31834,A,None
5.32946,None,Key.shift
5.3407,None,a
5.3523,Key.shift,None
5.36292,P,None
5.37283,None,Key.shift
5.38526,None,p
5.39536,a,None
5.40648,None,a
5.41979,b,None
5.43116,None,b
5.44323,c,None
5.45349,None,c
5.46551,Key.shift,None
5.4767,!,None
5.4882,None,Key.shift
5.49924,None,1
5.61209,Key.enter,None
5.62356,None,Key.enter
5.7362,1,None
5.74721,None,1
5.75864,2,None
5.76892,None,2
5.77959,3,None
5.79107,None,3
5.80157,Key.shift,None
5.81302,C,None
5.82337,None,Key.shift
5.83428,None,c
5.84477,Key.shift,None
5.85595,A,None
5.86721,None,Key.shift
5.8776,None,a
5.88951,Key.shift,None
5.90027,P,None
5.91146,None,Key.shift
5.92281,None,p
5.9345,a,None
5.94479,None,a
5.95656,b,None
5.96696,None,b
5.97785,c,None
5.98899,None,c
6.00049,Key.shift,None
6.01078,!,None
6.02232,None,Key.shift
6.03232,None,1
