Time,Key pressed,Key released
1.32429,1,None
1.59816,None,1
1.71102,2,None
2.0844,None,2
2.19654,3,None
2.43798,None,3
2.55125,Key.shift,None
2.56283,C,None
3.22999,None,Key.shift
3.24088,None,c
3.35278,Key.shift,None
3.36418,A,None
3.92314,None,Key.shift
3.93383,None,a
4.04528,Key.shift,None
4.05647,P,None
4.76609,None,Key.shift
4.77778,None,p
4.88998,a,None
5.17284,None,a
5.28549,b,None
5.78412,None,b
5.89685,c,None
6.13321,None,c
6.2458,Key.shift,None
6.25639,!,None
6.56132,None,Key.shift
6.57274,None,1
7.41054,Key.enter,None
7.4207,None,Key.enter
7.53324,1,None
7.95852,None,1
8.07013,2,None
8.61277,None,2
8.72407,3,None
9.12135,None,3
9.2349,Key.shift,None
9.24664,C,None
9.95175,None,Key.shift
9.96313,None,c
10.07586,Key.shift,None
10.08611,A,None
10.73621,None,Key.shift
10.74746,None,a
10.86027,Key.shift,None
10.87062,P,None
11.57084,None,Key.shift
11.58196,None,p
11.6939,a,None
12.40444,None,a
12.51735,b,None
13.14753,None,b
13.26059,c,None
13.80514,None,c
13.91596,Key.shift,None
13.92666,!,None
14.52857,None,Key.shift
14.53938,None,1
16.22329,Key.enter,None
16.23491,None,Key.enter
16.34701,1,None
16.65578,None,1
16.76765,2,None
17.12732,None,2
17.23977,3,None
17.39356,None,3
17.50434,Key.shift,None
17.51549,C,None
17.70251,None,Key.shift
17.71362,None,c
17.82564,Key.shift,None
17.83658,A,None
18.29624,None,Key.shift
18.30695,None,a
18.4189,Key.shift,None
18.43022,P,None
18.984,None,Key.shift
18.99615,None,p
19.10719,a,None
19.52804,None,a
19.63984,b,None
20.23351,None,b
20.34648,c,None
21.03679,None,c
21.14971,Key.shift,None
21.1612,!,None
21.42058,None,Key.shift
21.4313,None,1
22.94043,Key.enter,None
22.95443,None,Key.enter
23.06293,1,None
23.63817,None,1
23.74879,2,None
24.40458,None,2
24.51779,3,None
24.84897,None,3
24.96156,Key.shift,None
24.972,C,None
25.31127,None,Key.shift
25.32262,None,c
25.43538,Key.shift,None
25.44684,A,None
25.98034,None,Key.shift
25.99141,None,a
26.10274,Key.shift,None
26.11434,P,None
26.59363,None,Key.shift
26.60539,None,p
26.71782,a,None
26.97895,None,a
27.09063,b,None
27.7972,None,b
27.90932,c,None
28.52765,None,c
28.64062,Key.shift,None
28.65312,!,None
29.35472,None,Key.shift
29.36606,None,1
30.22429,Key.enter,None
30.23635,None,Key.enter
30.34788,1,None
30.69455,None,1
30.80678,2,None
31.02623,None,2
31.13933,3,None
31.47496,None,3
31.58654,Key.shift,None
31.59699,C,None
32.02702,None,Key.shift
32.03777,None,c
32.15057,Key.shift,None
32.1634,A,None
32.84127,None,Key.shift
32.85291,None,a
32.9636,Key.shift,None
32.97517,P,None
33.59023,None,Key.shift
33.60026,None,p
33.71321,a,None
34.10329,None,a
34.21676,b,None
34.84727,None,b
34.95918,c,None
35.08769,None,c
35.20053,Key.shift,None
35.21197,!,None
35.62105,None,Key.shift
