Time,Key pressed,Key released
1.35446,1,None
1.77374,None,1
1.88653,2,None
2.064,None,2
2.17679,3,None
2.57326,None,3
2.68648,Key.shift,None
2.69756,C,None
3.09313,None,Key.shift
3.10401,None,c
3.21656,Key.shift,None
3.22784,A,None
3.4567,None,Key.shift
3.46784,None,a
3.58048,Key.shift,None
3.59082,P,None
3.83138,None,Key.shift
3.84295,None,p
3.95572,a,None
4.34957,None,a
4.46175,b,None
5.0305,None,b
5.1423,c,None
5.53798,None,c
5.64993,Key.shift,None
5.66127,!,None
5.94267,None,Key.shift
5.95404,None,1
7.11883,Key.enter,None
7.13002,None,Key.enter
7.24178,1,None
7.50417,None,1
7.61634,2,None
8.26895,None,2
8.382,3,None
8.87989,None,3
8.9907,Key.shift,None
9.00094,C,None
9.18024,None,Key.shift
9.19036,None,c
9.30202,Key.shift,None
9.31242,A,None
9.82966,None,Key.shift
9.84048,None,a
9.95231,Key.shift,None
9.96383,P,None
10.71618,None,Key.shift
10.72771,None,p
10.83918,a,None
11.07683,None,a
11.18841,b,None
11.74636,None,b
11.85718,c,None
12.15028,None,c
12.26073,Key.shift,None
12.27238,!,None
12.51551,None,Key.shift
12.52624,None,1
13.25923,Key.enter,None
13.2698,None,Key.enter
13.38189,1,None
13.97248,None,1
14.08561,2,None
14.73072,None,2
14.84252,3,None
15.10908,None,3
15.21993,Key.shift,None
15.23013,C,None
15.65295,None,Key.shift
15.66299,None,c
15.77479,Key.shift,None
15.78632,A,None
16.10995,None,Key.shift
16.12016,None,a
16.23183,Key.shift,None
16.24345,P,None
16.7932,None,Key.shift
16.80349,None,p
16.91636,a,None
17.64804,None,a
17.76008,b,None
18.08267,None,b
18.19489,c,None
18.96693,None,c
19.07983,Key.shift,None
19.09535,!,None
19.45847,None,Key.shift
19.46893,None,1
22.03267,Key.enter,None
22.04399,None,Key.enter
22.15572,1,None
22.61513,None,1
22.7279,2,None
22.90184,None,2
23.01457,3,None
23.59607,None,3
23.70852,Key.shift,None
23.7201,C,None
24.20896,None,Key.shift
24.21994,None,c
24.33244,Key.shift,None
24.34391,A,None
24.93691,None,Key.shift
24.94881,None,a
25.06049,Key.shift,None
25.07192,P,None
25.81544,None,Key.shift
25.82683,None,p
25.93916,a,None
26.666,None,a
26.77884,b,None
27.14755,None,b
27.25986,c,None
27.85935,None,c
27.97116,Key.shift,None
27.98235,!,None
28.60316,None,Key.shift
28.61363,None,1
30.68578,Key.enter,None
30.69577,None,Key.enter
30.80966,1,None
31.18345,None,1
31.29632,2,None
31.98641,None,2
32.09869,3,None
32.76812,None,3
32.88042,Key.shift,None
32.89078,C,None
33.10968,None,Key.shift
33.11988,None,c
33.23191,Key.shift,None
33.24202,A,None
33.96941,None,Key.shift
33.98099,None,a
34.09275,Key.shift,None
34.10411,P,None
34.27557,None,Key.shift
34.28576,None,p
34.39796,a,None
34.82945,None,a
34.94109,b,None
35.3894,None,b
35.49988,c,None
36.09268,None,c
36.20479,Key.shift,None
36.21533,!,None
36.45755,None,Key.shift
36.46899,None,1
38.93813,Key.enter,None
38.94895,None,Key.enter
39.06097,1,None
39.60264,None,1
39.71337,2,None
40.23512,None,2
40.34833,3,None
40.85658,None,3
40.96889,Key.shift,None
40.98055,C,None
41.38976,None,Key.shift
41.40199,None,c
41.51358,Key.shift,None
41.52447,A,None
42.16876,None,Key.shift
42.18048,None,a
42.29118,Key.shift,None
42.30244,P,None
42.64382,None,Key.shift
42.65498,None,p
42.76613,a,None
43.39594,None,a
43.50795,b,None
43.78474,None,b
43.89748,c,None
44.19638,None,c
44.30825,Key.shift,None
44.31977,!,None
44.57612,None,Key.shift
44.58727,None,1
47.58483,Key.enter,None
47.59607,None,Key.enter
47.70769,1,None
48.03003,None,1
48.14172,2,None
48.49718,None,2
48.60816,3,None
49.38873,None,3
49.49895,Key.shift,None
49.5102,C,None
50.23791,None,Key.shift
50.248,None,c
50.36063,Key.shift,None
50.37163,A,None
51.17829,None,Key.shift
51.1899,None,a
51.30451,Key.shift,None
51.31609,P,None
51.98194,None,Key.shift
51.99832,None,p
52.10475,a,None
52.79526,None,a
52.90829,b,None
53.34662,None,b
53.45802,c,None
53.91288,None,c
54.02489,Key.shift,None
54.03633,!,None
54.64414,None,Key.shift
54.65551,None,1
56.99648,Key.enter,None
57.00821,None,Key.enter
57.1205,1,None
57.37851,None,1
57.49007,2,None
58.19138,None,2
58.30504,3,None
58.81602,None,3
58.9289,Key.shift,None
58.94,C,None
59.23982,None,Key.shift
59.25145,None,c
59.36421,Key.shift,None
59.3769,A,None
59.94252,None,Key.shift
59.95277,None,a
60.06723,Key.shift,None
60.07632,P,None
60.31516,None,Key.shift
60.32597,None,p
60.43763,a,None
60.78898,None,a
60.90087,b,None
61.04936,None,b
61.16155,c,None
61.37937,None,c
61.49155,Key.shift,None
61.50301,!,None
61.7915,None,Key.shift
61.80142,None,1
63.5103,Key.enter,None
63.52206,None,Key.enter
63.63326,1,None
64.18909,None,1
64.30172,2,None
64.88605,None,2
64.99885,3,None
65.66382,None,3
65.77661,Key.shift,None
65.78864,C,None
66.13621,None,Key.shift
66.14789,None,c
66.25831,Key.shift,None
66.26858,A,None
66.78765,None,Key.shift
66.7989,None,a
66.91136,Key.shift,None
66.92252,P,None
67.63064,None,Key.shift
67.64121,None,p
67.75154,a,None
68.16172,None,a
68.27368,b,None
68.91268,None,b
69.02489,c,None
69.43214,None,c
69.54399,Key.shift,None
69.55531,!,None
69.90294,None,Key.shift
69.91293,None,1
72.42529,Key.enter,None
72.43647,None,Key.enter
72.54751,1,None
72.83124,None,1
72.94296,2,None
73.70786,None,2
73.81991,3,None
74.04535,None,3
74.15784,Key.shift,None
74.16928,C,None
74.88427,None,Key.shift
74.89567,None,c
75.00795,Key.shift,None
75.01928,A,None
75.31449,None,Key.shift
75.32462,None,a
75.43887,Key.shift,None
75.45057,P,None
75.82983,None,Key.shift
75.84168,None,p
75.95436,a,None
76.51733,None,a
76.63048,b,None
77.09144,None,b
77.20174,c,None
77.85508,None,c
77.96578,Key.shift,None
77.97952,!,None
78.64867,None,Key.shift
78.66005,None,1
