Time,Key pressed,Key released
1.37946,1,None
2.1007,None,1
2.21126,2,None
2.68253,None,2
2.79413,3,None
3.34732,None,3
3.46102,Key.shift,None
3.47267,C,None
3.86817,None,Key.shift
3.87877,None,c
3.99071,Key.shift,None
4.00199,A,None
4.34288,None,Key.shift
4.35376,None,a
4.46686,Key.shift,None
4.4777,P,None
5.05146,None,Key.shift
5.06285,None,p
5.17582,a,None
5.36358,None,a
5.4767,b,None
6.03493,None,b
6.14682,c,None
6.47175,None,c
6.58453,Key.shift,None
6.595,!,None
6.9797,None,Key.shift
6.99118,None,1
7.81774,Key.enter,None
7.82786,None,Key.enter
7.94011,1,None
8.67735,None,1
8.78897,2,None
9.1469,None,2
9.25983,3,None
9.52478,None,3
9.63672,Key.shift,None
9.64683,C,None
10.0984,None,Key.shift
10.10968,None,c
10.22245,Key.shift,None
10.23383,A,None
10.66078,None,Key.shift
10.67218,None,a
10.78408,Key.shift,None
10.79425,P,None
11.13309,None,Key.shift
11.1435,None,p
11.25534,a,None
11.56803,None,a
11.68028,b,None
12.13355,None,b
12.24467,c,None
13.04,None,c
13.15255,Key.shift,None
13.16322,!,None
13.72201,None,Key.shift
13.73421,None,1
16.79176,Key.enter,None
16.80291,None,Key.enter
16.91401,1,None
17.1225,None,1
17.23606,2,None
17.57793,None,2
17.69023,3,None
17.89731,None,3
18.00962,Key.shift,None
18.01977,C,None
18.44624,None,Key.shift
18.45762,None,c
18.57036,Key.shift,None
18.58173,A,None
18.82464,None,Key.shift
18.83579,None,a
18.94735,Key.shift,None
18.96186,P,None
19.23253,None,Key.shift
19.2436,None,p
19.35601,a,None
20.09498,None,a
20.20801,b,None
20.52276,None,b
20.63578,c,None
20.9374,None,c
21.04988,Key.shift,None
21.06078,!,None
21.80245,None,Key.shift
21.81385,None,1
22.98455,Key.enter,None
22.99462,None,Key.enter
23.10654,1,None
23.56748,None,1
23.67997,2,None
24.13174,None,2
24.24361,3,None
24.89802,None,3
25.01101,Key.shift,None
25.02144,C,None
25.43046,None,Key.shift
25.4411,None,c
25.55355,Key.shift,None
25.56489,A,None
26.23884,None,Key.shift
26.25035,None,a
26.36326,Key.shift,None
26.37446,P,None
26.87305,None,Key.shift
26.88401,None,p
26.99451,a,None
27.47897,None,a
27.59181,b,None
27.93424,None,b
28.04826,c,None
28.8457,None,c
28.95869,Key.shift,None
28.9702,!,None
29.13789,None,Key.shift
29.14885,None,1
31.44314,Key.enter,None
31.4573,None,Key.enter
31.56701,1,None
32.12697,None,1
32.23905,2,None
32.75812,None,2
32.87312,3,None
33.18217,None,3
33.29344,Key.shift,None
33.30506,C,None
33.84082,None,Key.shift
33.85117,None,c
33.96389,Key.shift,None
33.97461,A,None
34.63618,None,Key.shift
34.64704,None,a
34.759,Key.shift,None
34.76968,P,None
35.33407,None,Key.shift
35.34556,None,p
35.45831,a,None
35.82729,None,a
35.93906,b,None
36.20167,None,b
36.31402,c,None
36.66822,None,c
36.78068,Key.shift,None
36.79229,!,None
37.22906,None,Key.shift
37.24255,None,1
39.0849,Key.enter,None
39.09606,None,Key.enter
39.20807,1,None
39.5761,None,1
39.68922,2,None
40.02036,None,2
40.13198,3,None
40.53447,None,3
40.64866,Key.shift,None
40.66017,C,None
41.18597,None,Key.shift
41.20137,None,c
41.30978,Key.shift,None
41.32107,A,None
41.60431,None,Key.shift
41.61461,None,a
41.72643,Key.shift,None
41.7367,P,None
42.03085,None,Key.shift
42.04239,None,p
42.1537,a,None
42.91409,None,a
43.02524,b,None
43.58675,None,b
43.69724,c,None
44.25798,None,c
44.37026,Key.shift,None
44.3804,!,None
44.69371,None,Key.shift
44.70578,None,1
46.86296,Key.enter,None
46.87443,None,Key.enter
46.98616,1,None
47.52074,None,1
47.63227,2,None
48.11657,None,2
48.22754,3,None
48.92127,None,3
49.03371,Key.shift,None
49.04566,C,None
49.73608,None,Key.shift
49.74686,None,c
49.85863,Key.shift,None
49.86969,A,None
50.18814,None,Key.shift
50.19939,None,a
50.31087,Key.shift,None
50.32208,P,None
50.59975,None,Key.shift
50.61031,None,p
50.72289,a,None
51.4223,None,a
51.53443,b,None
51.72626,None,b
51.83727,c,None
52.5952,None,c
52.70813,Key.shift,None
52.71949,!,None
53.20319,None,Key.shift
53.21391,None,1
54.47763,Key.enter,None
54.48883,None,Key.enter
54.60092,1,None
54.83238,None,1
54.9442,2,None
55.25212,None,2
55.36445,3,None
55.86968,None,3
55.98247,Key.shift,None
55.99277,C,None
56.74651,None,Key.shift
56.75755,None,c
56.86963,Key.shift,None
56.88046,A,None
57.46567,None,Key.shift
57.47696,None,a
57.589,Key.shift,None
57.60081,P,None
57.91431,None,Key.shift
57.9257,None,p
58.03851,a,None
58.31476,None,a
58.42687,b,None
58.89584,None,b
59.00885,c,None
59.58304,None,c
59.69481,Key.shift,None
59.7064,!,None
59.87803,None,Key.shift
59.88999,None,1
61.89699,Key.enter,None
61.91116,None,Key.enter
62.0187,1,None
62.56003,None,1
62.67309,2,None
63.41991,None,2
63.53125,3,None
63.90755,None,3
64.02179,Key.shift,None
64.03347,C,None
64.37912,None,Key.shift
64.39054,None,c
64.50239,Key.shift,None
64.5137,A,None
64.71677,None,Key.shift
64.72714,None,a
64.83941,Key.shift,None
64.84952,P,None
65.36859,None,Key.shift
65.38094,None,p
65.49271,a,None
66.06419,None,a
66.17711,b,None
66.43113,None,b
66.54321,c,None
67.0627,None,c
67.17554,Key.shift,None
67.18638,!,None
67.80315,None,Key.shift
67.81453,None,1
69.82789,Key.enter,None
69.83975,None,Key.enter
69.95222,1,None
70.30711,None,1
70.41896,2,None
70.85752,None,2
70.96878,3,None
71.73073,None,3
71.84312,Key.shift,None
71.85449,C,None
72.27115,None,Key.shift
72.28199,None,c
72.39337,Key.shift,None
72.40431,A,None
73.10423,None,Key.shift
73.11556,None,a
73.22736,Key.shift,None
73.23771,P,None
73.84427,None,Key.shift
73.8558,None,p
73.96779,a,None
74.17753,None,a
74.2901,b,None
74.69829,None,b
74.80878,c,None
75.09386,None,c
75.20635,Key.shift,None
75.21676,!,None
75.91802,None,Key.shift
75.93018,None,1
