Time,Key pressed,Key released
1.50585,1,None
1.78465,None,1
1.89769,2,None
2.25746,None,2
2.36861,3,None
2.51512,None,3
2.62731,Key.shift,None
2.63833,C,None
3.31826,None,Key.shift
3.33294,None,c
3.44177,Key.shift,None
3.45496,A,None
3.93429,None,Key.shift
3.94574,None,a
4.05707,Key.shift,None
4.06779,P,None
4.84745,None,Key.shift
4.85755,None,p
4.96839,a,None
5.339,None,a
5.4502,b,None
5.92039,None,b
6.032,c,None
6.2697,None,c
6.38,Key.shift,None
6.39018,!,None
6.75551,None,Key.shift
6.76593,None,1
9.22825,Key.enter,None
9.23946,None,Key.enter
9.35141,1,None
9.76074,None,1
9.87386,2,None
10.2703,None,2
10.3832,3,None
11.09979,None,3
11.2118,Key.shift,None
11.22332,C,None
11.5184,None,Key.shift
11.53003,None,c
11.64041,Key.shift,None
11.65165,A,None
12.37381,None,Key.shift
12.38652,None,a
12.49882,Key.shift,None
12.51025,P,None
13.07086,None,Key.shift
13.08175,None,p
13.19443,a,None
13.86124,None,a
13.97429,b,None
14.56518,None,b
14.67738,c,None
15.15958,None,c
15.27241,Key.shift,None
15.28256,!,None
16.06369,None,Key.shift
16.07494,None,1
18.60692,Key.enter,None
18.61925,None,Key.enter
18.7311,1,None
19.33432,None,1
19.44673,2,None
19.62693,None,2
19.74151,3,None
20.08253,None,3
20.19457,Key.shift,None
20.20662,C,None
20.60531,None,Key.shift
20.61672,None,c
20.72918,Key.shift,None
20.74086,A,None
21.1985,None,Key.shift
21.20719,None,a
21.31817,Key.shift,None
21.32987,P,None
22.08909,None,Key.shift
22.09978,None,p
22.21271,a,None
22.606,None,a
22.71873,b,None
23.30324,None,b
23.41629,c,None
23.59613,None,c
23.70751,Key.shift,None
23.71904,!,None
24.19061,None,Key.shift
24.20166,None,1
25.45223,Key.enter,None
25.4632,None,Key.enter
25.57464,1,None
26.00488,None,1
26.116,2,None
26.3399,None,2
26.45154,3,None
26.96472,None,3
27.0762,Key.shift,None
27.08734,C,None
27.76085,None,Key.shift
27.77235,None,c
27.88292,Key.shift,None
27.89388,A,None
