Time,Key pressed,Key released
0.94601,1,None
0.95426,None,1
0.96665,2,None
0.97839,None,2
0.98767,3,None
0.99846,None,3
1.00876,Key.shift,None
1.01972,C,None
1.03028,None,Key.shift
1.04012,None,c
1.0513,Key.shift,None
1.06242,A,None
1.0729,None,Key.shift
1.08291,None,a
1.09596,Key.shift,None
1.10735,P,None
1.11837,None,Key.shift
1.12916,None,p
1.13974,a,None
1.14986,None,a
1.16256,b,None
1.17376,None,b
1.18398,c,None
1.19501,None,c
1.20504,Key.shift,None
1.21627,!,None
1.22881,None,Key.shift
1.238,None,1
1.34977,Key.enter,None
1.36205,None,Key.enter
1.47213,1,None
1.48284,None,1
1.49429,2,None
1.50509,None,2
1.51686,3,None
1.52812,None,3
1.53993,Key.shift,None
1.55035,C,None
1.5617,None,Key.shift
1.57343,None,c
1.58738,Key.shift,None
1.59868,A,None
1.61,None,Key.shift
1.62046,None,a
1.6322,Key.shift,None
1.64386,P,None
1.65521,None,Key.shift
1.6651,None,p
1.67674,a,None
1.68846,None,a
1.6999,b,None
1.71117,None,b
1.72182,c,None
1.73284,None,c
1.74456,Key.shift,None
1.75556,!,None
1.76723,None,Key.shift
1.77757,None,1
1.88979,Key.enter,None
1.90024,None,Key.enter
2.01232,1,None
2.02331,None,1
2.03684,2,None
2.04547,None,2
2.05686,3,None
2.07104,None,3
2.07797,Key.shift,None
2.0887,C,None
2.09988,None,Key.shift
2.11089,None,c
2.12125,Key.shift,None
2.13222,A,None
2.14293,None,Key.shift
2.15359,None,a
2.16564,Key.shift,None
2.17612,P,None
2.18701,None,Key.shift
2.19853,None,p
2.21064,a,None
2.22123,None,a
2.23354,b,None
2.24468,None,b
2.25672,c,None
2.26933,None,c
2.2783,Key.shift,None
2.28834,!,None
2.29866,None,Key.shift
2.3097,None,1
2.42147,Key.enter,None
2.43313,None,Key.enter
2.54411,1,None
2.5546,None,1
2.56609,2,None
2.57752,None,2
2.58807,3,None
2.59936,None,3
2.61092,Key.shift,None
2.62153,C,None
2.63273,None,Key.shift
2.64384,None,c
2.65521,Key.shift,None
2.66658,A,None
2.67783,None,Key.shift
2.68866,None,a
2.70043,Key.shift,None
2.71179,P,None
2.72196,None,Key.shift
2.7336,None,p
2.74488,a,None
2.75506,None,a
2.76706,b,None
2.77845,None,b
2.78896,c,None
2.80054,None,c
2.81239,Key.shift,None
2.82355,!,None
2.83394,None,Key.shift
2.84513,None,1
2.95835,Key.enter,None
2.96963,None,Key.enter
3.08175,1,None
3.09292,None,1
3.10382,2,None
3.1153,None,2
3.1262,3,None
3.13698,None,3
3.14734,Key.shift,None
3.15883,C,None
3.16989,None,Key.shift
3.18136,None,c
3.19273,Key.shift,None
3.20352,A,None
3.21488,None,Key.shift
3.22632,None,a
3.23699,Key.shift,None
3.24719,P,None
3.25754,None,Key.shift
3.27075,None,p
3.27981,a,None
3.29103,None,a
3.30371,b,None
3.31456,None,b
3.32475,c,None
3.33627,None,c
3.34588,Key.shift,None
3.35723,!,None
3.36899,None,Key.shift
3.37996,None,1
3.493,Key.enter,None
3.5035,None,Key.enter
3.61533,1,None
3.62632,None,1
3.63774,2,None
3.64883,None,2
3.66306,3,None
3.6713,None,3
3.68341,Key.shift,None
3.69403,C,None
3.70494,None,Key.shift
3.71491,None,c
3.72698,Key.shift,None
3.73816,A,None
3.74982,None,Key.shift
3.76385,None,a
3.77161,Key.shift,None
3.78306,P,None
3.797,None,Key.shift
3.80504,None,p
3.81495,a,None
3.82531,None,a
3.83684,b,None
3.84721,None,b
3.85909,c,None
3.86916,None,c
3.87985,Key.shift,None
3.89098,!,None
3.90238,None,Key.shift
3.91369,None,1
4.02573,Key.enter,None
4.03647,None,Key.enter
4.14755,1,None
4.15811,None,1
4.16857,2,None
4.17941,None,2
4.19073,3,None
4.20161,None,3
4.21313,Key.shift,None
4.22461,C,None
4.23601,None,Key.shift
4.24718,None,c
4.25919,Key.shift,None
4.26969,A,None
4.28064,None,Key.shift
4.29231,None,a
4.30399,Key.shift,None
4.3154,P,None
4.32636,None,Key.shift
4.33783,None,p
4.34917,a,None
4.35907,None,a
4.36977,b,None
4.38113,None,b
4.39226,c,None
4.40333,None,c
4.41429,Key.shift,None
4.42616,!,None
4.43606,None,Key.shift
4.44931,None,1
4.55996,Key.enter,None
4.57007,None,Key.enter
4.68179,1,None
4.69261,None,1
4.70339,2,None
4.71409,None,2
4.72541,3,None
4.73654,None,3
4.74814,Key.shift,None
4.75964,C,None
4.76969,None,Key.shift
4.78052,None,c
4.79034,Key.shift,None
4.80062,A,None
