Time,Key pressed,Key released
0.9633,1,None
0.97146,None,1
0.98294,2,None
0.99378,None,2
1.00458,3,None
1.01588,None,3
1.02696,Key.shift,None
1.03689,C,None
1.0491,None,Key.shift
1.05836,None,c
1.06876,Key.shift,None
1.08017,A,None
1.09158,None,Key.shift
1.10308,None,a
1.11595,Key.shift,None
1.12391,P,None
1.13537,None,Key.shift
1.14581,None,p
1.15752,a,None
1.16914,None,a
1.1803,b,None
1.19176,None,b
1.20307,c,None
1.21615,None,c
1.22546,Key.shift,None
1.23733,!,None
1.24927,None,Key.shift
1.25829,None,1
1.37093,Key.enter,None
1.3832,None,Key.enter
1.49415,1,None
1.50482,None,1
1.51554,2,None
1.52614,None,2
1.53817,3,None
1.54939,None,3
1.56089,Key.shift,None
1.57113,C,None
1.58264,None,Key.shift
1.5933,None,c
1.60579,Key.shift,None
1.61707,A,None
1.6272,None,Key.shift
1.63852,None,a
1.64837,Key.shift,None
1.65983,P,None
1.67151,None,Key.shift
1.68253,None,p
1.69413,a,None
1.70484,None,a
1.71647,b,None
1.72712,None,b
1.73841,c,None
1.74989,None,c
1.76125,Key.shift,None
1.77187,!,None
1.78325,None,Key.shift
1.79397,None,1
1.90537,Key.enter,None
1.91643,None,Key.enter
2.02756,1,None
2.0384,None,1
2.04885,2,None
2.06108,None,2
2.07153,3,None
2.08297,None,3
2.09373,Key.shift,None
2.10501,C,None
2.11577,None,Key.shift
2.12716,None,c
2.13911,Key.shift,None
2.1506,A,None
2.1607,None,Key.shift
2.17209,None,a
2.18332,Key.shift,None
2.19397,P,None
2.20595,None,Key.shift
2.21578,None,p
2.2269,a,None
2.23712,None,a
2.24742,b,None
2.25836,None,b
2.2706,c,None
2.28058,None,c
2.29106,Key.shift,None
2.30186,!,None
2.31312,None,Key.shift
2.3242,None,1
2.43724,Key.enter,None
2.4489,None,Key.enter
2.56075,1,None
2.57105,None,1
2.58299,2,None
2.59439,None,2
2.60723,3,None
2.61853,None,3
2.62948,Key.shift,None
2.64112,C,None
2.65204,None,Key.shift
2.66241,None,c
2.67481,Key.shift,None
2.68555,A,None
2.69676,None,Key.shift
2.70747,None,a
2.71817,Key.shift,None
2.7288,P,None
2.74111,None,Key.shift
2.75132,None,p
2.76302,a,None
2.77358,None,a
2.78503,b,None
2.79644,None,b
2.8072,c,None
2.81756,None,c
2.82822,Key.shift,None
2.83861,!,None
2.85025,None,Key.shift
2.86071,None,1
2.97338,Key.enter,None
2.98484,None,Key.enter
3.0962,1,None
3.10682,None,1
3.11866,2,None
3.12868,None,2
3.14026,3,None
3.15192,None,3
3.16145,Key.shift,None
3.17285,C,None
3.18371,None,Key.shift
3.19384,None,c
3.20574,Key.shift,None
3.2166,A,None
3.22722,None,Key.shift
3.23797,None,a
3.25133,Key.shift,None
3.2625,P,None
3.2729,None,Key.shift
3.28409,None,p
3.29491,a,None
3.306,None,a
3.31695,b,None
3.32724,None,b
3.33807,c,None
3.34944,None,c
3.36001,Key.shift,None
3.37135,!,None
3.38238,None,Key.shift
3.39311,None,1
3.50456,Key.enter,None
3.51632,None,Key.enter
3.62786,1,None
3.6383,None,1
3.64934,2,None
3.65911,None,2
3.6708,3,None
3.68093,None,3
3.69119,Key.shift,None
3.70412,C,None
3.71311,None,Key.shift
3.72419,None,c
3.73804,Key.shift,None
3.74925,A,None
3.76064,None,Key.shift
3.77077,None,a
3.78168,Key.shift,None
3.79206,P,None
