Time,Key pressed,Key released
1.47817,1,None
1.90529,None,1
2.017,2,None
2.68921,None,2
2.80166,3,None
3.47264,None,3
3.58694,Key.shift,None
3.59845,C,None
3.95758,None,Key.shift
3.96926,None,c
4.08178,Key.shift,None
4.09402,A,None
4.63125,None,Key.shift
4.64251,None,a
4.75382,Key.shift,None
4.76502,P,None
5.38601,None,Key.shift
5.39609,None,p
5.50851,a,None
5.98088,None,a
6.09367,b,None
6.81811,None,b
6.93086,c,None
7.66929,None,c
7.78255,Key.shift,None
7.79417,!,None
8.04716,None,Key.shift
8.05853,None,1
10.32966,Key.enter,None
10.34291,None,Key.enter
10.45285,1,None
11.08583,None,1
11.19686,2,None
11.5834,None,2
11.69873,3,None
11.84736,None,3
11.96035,Key.shift,None
11.97151,C,None
12.28076,None,Key.shift
12.29216,None,c
12.40391,Key.shift,None
12.41638,A,None
12.97605,None,Key.shift
12.98761,None,a
13.09928,Key.shift,None
13.11063,P,None
13.7939,None,Key.shift
13.80527,None,p
13.91651,a,None
14.49166,None,a
14.60501,b,None
15.00069,None,b
15.11362,c,None
15.59055,None,c
15.70388,Key.shift,None
15.7185,!,None
16.26806,None,Key.shift
16.27905,None,1
19.24134,Key.enter,None
19.25318,None,Key.enter
19.36421,1,None
19.89028,None,1
20.00189,2,None
20.2219,None,2
20.33271,3,None
21.02622,None,3
21.13815,Key.shift,None
21.1496,C,None
21.6422,None,Key.shift
21.65274,None,c
21.76563,Key.shift,None
21.77676,A,None
22.30268,None,Key.shift
22.31361,None,a
22.42608,Key.shift,None
22.43878,P,None
23.10132,None,Key.shift
23.11249,None,p
23.22493,a,None
23.84607,None,a
23.95766,b,None
24.26227,None,b
24.37425,c,None
25.16593,None,c
25.28039,Key.shift,None
25.29083,!,None
25.44548,None,Key.shift
25.45574,None,1
27.68657,Key.enter,None
27.69847,None,Key.enter
27.81074,1,None
28.39776,None,1
28.51062,2,None
29.29222,None,2
29.40495,3,None
29.84185,None,3
29.95297,Key.shift,None
29.96449,C,None
30.77212,None,Key.shift
30.78267,None,c
30.89535,Key.shift,None
30.90688,A,None
31.62888,None,Key.shift
31.64047,None,a
31.75175,Key.shift,None
31.76346,P,None
32.54819,None,Key.shift
32.55976,None,p
32.67031,a,None
33.43408,None,a
33.54702,b,None
34.13951,None,b
34.25027,c,None
34.97835,None,c
35.09065,Key.shift,None
35.10184,!,None
35.5556,None,Key.shift
35.56601,None,1
38.35523,Key.enter,None
38.366,None,Key.enter
38.47787,1,None
39.17768,None,1
39.29049,2,None
40.03242,None,2
40.14494,3,None
40.40594,None,3
40.5186,Key.shift,None
40.5302,C,None
40.89457,None,Key.shift
40.90631,None,c
41.01786,Key.shift,None
41.02943,A,None
41.67988,None,Key.shift
41.69097,None,a
41.80263,Key.shift,None
41.81388,P,None
42.2564,None,Key.shift
42.26734,None,p
42.38162,a,None
42.59166,None,a
42.70385,b,None
43.27216,None,b
43.38332,c,None
43.93688,None,c
44.04984,Key.shift,None
44.0611,!,None
44.33539,None,Key.shift
44.34689,None,1
47.39676,Key.enter,None
47.40845,None,Key.enter
47.51909,1,None
48.17095,None,1
48.28325,2,None
48.78051,None,2
48.89322,3,None
49.06092,None,3
49.17406,Key.shift,None
49.18612,C,None
49.98065,None,Key.shift
49.99188,None,c
50.10387,Key.shift,None
